date,description,amount
2024-01-01,Zomato order,320
2024-01-01,Uber ride,150
2024-01-02,Swiggy food,280
2024-01-02,Amazon shopping,1200
2024-01-03,Electricity bill,2500
2024-01-03,Netflix subscription,499
2024-01-04,Flipkart purchase,2200
2024-01-04,Ola ride,180
2024-01-05,Zomato dinner,450
2024-01-05,UPI to grocery store,600
2024-01-06,Petrol pump payment,1000
2024-01-06,Swiggy order,350
2024-01-07,Uber ride,120
2024-01-07,Movie tickets,700
2024-01-08,Amazon order,899
2024-01-08,Pharmacy purchase,450
2024-01-09,Zomato lunch,300
2024-01-09,Ola cab ride,160
2024-01-10,Electricity bill payment,2700
2024-01-10,UPI to friend,500
2024-01-11,Swiggy dinner,420
2024-01-11,Amazon shopping,1800
2024-01-12,Uber ride,200
2024-01-12,Netflix subscription,499
2024-01-13,Flipkart purchase,2500
2024-01-13,Petrol pump,1200
2024-01-14,Zomato dinner,380
2024-01-14,UPI grocery payment,750
2024-01-15,Ola ride,140
2024-01-15,Pharmacy bill,600
2024-01-16,Amazon order,1600
2024-01-16,Swiggy lunch,290
2024-01-17,Uber ride,180
2024-01-17,Movie tickets,800
2024-01-18,Electricity bill,2600
2024-01-18,UPI to cafe,300
2024-01-19,Zomato dinner,500
2024-01-19,Flipkart order,2100
2024-01-20,Ola ride,170
2024-01-20,Petrol payment,1100
2024-01-21,Amazon purchase,1400
2024-01-21,Swiggy order,360
2024-01-22,Uber ride,150
2024-01-22,Netflix subscription,499
2024-01-23,Zomato lunch,320
2024-01-23,UPI grocery store,800
2024-01-24,Ola ride,200
2024-01-24,Pharmacy purchase,550
2024-01-25,Amazon order,1900
2024-01-25,Swiggy dinner,420
2024-01-26,Uber ride,130
2024-01-26,Movie tickets,750
2024-01-27,Electricity bill,2800
2024-01-27,Flipkart purchase,2400
2024-01-28,Zomato dinner,390
2024-01-28,UPI to grocery,650
2024-01-29,Ola ride,180
2024-01-29,Petrol pump payment,1000
2024-01-30,Amazon shopping,1700
2024-01-30,Swiggy order,310
2024-02-01,Zomato lunch,340
2024-02-01,Uber ride,160
2024-02-02,Swiggy dinner,450
2024-02-02,Amazon purchase,2100
2024-02-03,Electricity bill,2600
2024-02-03,Netflix subscription,499
2024-02-04,Flipkart order,2300
2024-02-04,Ola ride,150
2024-02-05,Zomato dinner,420
2024-02-05,UPI grocery store,700
2024-02-06,Petrol pump,1200
2024-02-06,Swiggy order,380
2024-02-07,Uber ride,140
2024-02-07,Movie tickets,800
2024-02-08,Amazon shopping,1500
2024-02-08,Pharmacy bill,500
2024-02-09,Zomato lunch,310
2024-02-09,Ola ride,170
2024-02-10,Electricity bill,2700
2024-02-10,UPI to friend,600
2024-02-11,Swiggy dinner,460
2024-02-11,Amazon purchase,1800
2024-02-12,Uber ride,180
2024-02-12,Netflix subscription,499
2024-02-13,Flipkart order,2600
2024-02-13,Petrol pump,1100
2024-02-14,Zomato dinner,500
2024-02-14,UPI grocery,750
2024-02-15,Ola ride,160
2024-02-15,Pharmacy purchase,600
2024-02-16,Amazon order,1700
2024-02-16,Swiggy lunch,320
2024-02-17,Uber ride,150
2024-02-17,Movie tickets,850
2024-02-18,Electricity bill,2900
2024-02-18,UPI cafe payment,350
2024-02-19,Zomato dinner,450
2024-02-19,Flipkart shopping,2200
2024-02-20,Ola ride,180
2024-02-20,Petrol payment,1000
2024-02-21,Amazon purchase,1600
2024-02-21,Swiggy order,370
2024-02-22,Uber ride,140
2024-02-22,Netflix subscription,499
2024-02-23,Zomato lunch,330
2024-02-23,UPI grocery store,850
2024-02-24,Ola ride,190
2024-02-24,Pharmacy purchase,520
2024-02-25,Amazon order,2000
2024-02-25,Swiggy dinner,410
2024-02-26,Uber ride,150
2024-02-26,Movie tickets,900
2024-02-27,Electricity bill,3000
2024-02-27,Flipkart order,2500
2024-02-28,Zomato dinner,420
2024-02-28,UPI grocery payment,700
